"","sample","pop","count","percent","CD4","CCR7","CD8","CD3","CD45RA","CD45"
"1","OpA_I2_C2_IM1_WB1_R1.fcs","root",389000,1,1.40400147438049,1.80217432975769,0.824821680784225,1.46400862932205,1.17462134361267,2.9769469499588
"2","OpA_I2_C2_IM1_WB1_R1.fcs","/Scatter",123453,0.317359897172237,1.22638070583344,2.31244540214539,1.17638874053955,3.62130784988403,2.61293983459473,3.42642045021057
"3","OpA_I2_C2_IM1_WB1_R1.fcs","/Scatter/Singlets",122552,0.992701675941451,1.22460955381393,2.31910753250122,1.18036693334579,3.62486946582794,2.61945652961731,3.4268239736557
"4","OpA_I2_C2_IM1_WB1_R1.fcs","/Scatter/Singlets/CD3",68836,0.561688099745414,2.72173237800598,2.76604807376862,1.33860194683075,3.83886873722076,1.68629825115204,3.46504855155945
"5","OpA_I2_C2_IM1_WB1_R1.fcs","/Scatter/Singlets/CD3/CD8",19403,0.28187285722587,1.10411477088928,2.46849226951599,3.46960258483887,3.74936676025391,2.59409093856812,3.51040172576904
"6","OpA_I2_C2_IM1_WB1_R1.fcs","/Scatter/Singlets/CD3/CD4",43361,0.629917485036899,2.78751707077026,2.89249920845032,1.01306056976318,3.90090608596802,1.41036152839661,3.44601011276245
"7","OpA_I2_C2_IM1_WB1_R2.fcs","root",393000,1,1.44094097614288,1.88425296545029,0.843925386667252,1.4942085146904,1.17597204446793,2.95356154441833
"8","OpA_I2_C2_IM1_WB1_R2.fcs","/Scatter",129828,0.330351145038168,1.23020386695862,2.26402139663696,1.15084499120712,3.5882955789566,2.65199828147888,3.40637302398682
"9","OpA_I2_C2_IM1_WB1_R2.fcs","/Scatter/Singlets",128742,0.991635086422035,1.22713726758957,2.2712869644165,1.15629327297211,3.59291434288025,2.65868842601776,3.40692400932312
"10","OpA_I2_C2_IM1_WB1_R2.fcs","/Scatter/Singlets/CD3",71175,0.552849885818148,2.70322108268738,2.73778223991394,1.32807517051697,3.82152080535889,1.67004871368408,3.44641923904419
"11","OpA_I2_C2_IM1_WB1_R2.fcs","/Scatter/Singlets/CD3/CD8",20151,0.283119072708114,1.11940550804138,2.39710807800293,3.44042110443115,3.73239898681641,2.62451553344727,3.48690962791443
"12","OpA_I2_C2_IM1_WB1_R2.fcs","/Scatter/Singlets/CD3/CD4",44859,0.630263435194942,2.77055835723877,2.86680579185486,1.00045621395111,3.88409900665283,1.37309491634369,3.42851376533508
"13","OpA_I2_C2_IM1_WB1_R3.fcs","root",391000,1,1.4142809510231,1.82742589712143,0.834288984537125,1.47474598884583,1.16889190673828,2.97018420696259
"14","OpA_I2_C2_IM1_WB1_R3.fcs","/Scatter",130811,0.334554987212276,1.22603559494019,2.28089094161987,1.16022610664368,3.59371089935303,2.63191604614258,3.40782833099365
"15","OpA_I2_C2_IM1_WB1_R3.fcs","/Scatter/Singlets",129696,0.991476251997156,1.22353506088257,2.28779709339142,1.16471755504608,3.59845471382141,2.63812303543091,3.40826165676117
"16","OpA_I2_C2_IM1_WB1_R3.fcs","/Scatter/Singlets/CD3",71536,0.551566740685912,2.71134984493256,2.7427431344986,1.33619338274002,3.82808089256287,1.65496081113815,3.44721662998199
"17","OpA_I2_C2_IM1_WB1_R3.fcs","/Scatter/Singlets/CD3/CD8",20145,0.281606463878327,1.10740280151367,2.4214973449707,3.45646405220032,3.73952221870422,2.57444262504578,3.48902058601379
"18","OpA_I2_C2_IM1_WB1_R3.fcs","/Scatter/Singlets/CD3/CD4",45146,0.631094833370611,2.77934265136719,2.87438118457794,1.0140038728714,3.8901299238205,1.3724924325943,3.42904126644135
"19","OpA_I2_C2_IM1_WB2_R1.fcs","root",392000,1,1.47472888231277,1.81998884677887,0.824458658695221,1.90417301654816,1.198606133461,2.97629821300507
"20","OpA_I2_C2_IM1_WB2_R1.fcs","/Scatter",114292,0.291561224489796,1.41718119382858,1.78218203783035,1.07597732543945,3.82624793052673,1.81876146793365,3.45915079116821
"21","OpA_I2_C2_IM1_WB2_R1.fcs","/Scatter/Singlets",113414,0.992317922514262,1.41476398706436,1.78394329547882,1.07988435029984,3.82803571224213,1.82309472560883,3.45972490310669
"22","OpA_I2_C2_IM1_WB2_R1.fcs","/Scatter/Singlets/CD3",74390,0.65591549544148,2.725994348526,2.25843930244446,1.10393941402435,3.95262861251831,1.28923112154007,3.50133037567139
"23","OpA_I2_C2_IM1_WB2_R1.fcs","/Scatter/Singlets/CD3/CD8",14534,0.195375722543353,1.10828787088394,1.93263202905655,3.45059108734131,3.87490391731262,1.88782197237015,3.54972422122955
"24","OpA_I2_C2_IM1_WB2_R1.fcs","/Scatter/Singlets/CD3/CD4",50394,0.677429762064794,2.77541792392731,2.46267092227936,0.81760585308075,3.98549282550812,1.08586055040359,3.4859721660614
